	bio_celltype
pdacb_cell_236	Ductal - MHC Class II
pdacb_cell_237	Ductal - terminal ductal like
pdacb_cell_238	Ductal - terminal ductal like
pdacb_cell_239	Ductal - terminal ductal like
pdacb_cell_240	Ductal - MHC Class II
pdacb_cell_241	Ductal - terminal ductal like
pdacb_cell_242	Ductal - MHC Class II
pdacb_cell_243	Ductal - terminal ductal like
pdacb_cell_244	Ductal - terminal ductal like
pdacb_cell_245	Cancer
pdacb_cell_246	Ductal - terminal ductal like
pdacb_cell_247	Ductal - terminal ductal like
pdacb_cell_248	Cancer
pdacb_cell_249	Ductal - terminal ductal like
pdacb_cell_250	Ductal - terminal ductal like
pdacb_cell_251	Ductal - MHC Class II
pdacb_cell_252	Ductal - MHC Class II
pdacb_cell_253	Cancer
pdacb_cell_254	Ductal - terminal ductal like
pdacb_cell_255	Ductal - terminal ductal like
pdacb_cell_256	Macrophages
pdacb_cell_257	Tuft cells
pdacb_cell_258	Ductal - MHC Class II
pdacb_cell_259	Endothelial cells
pdacb_cell_260	Endothelial cells
pdacb_cell_261	mDCs
pdacb_cell_262	Ductal - terminal ductal like
pdacb_cell_263	mDCs
pdacb_cell_264	Ductal - terminal ductal like
pdacb_cell_265	Ductal - terminal ductal like
pdacb_cell_266	Ductal - terminal ductal like
pdacb_cell_267	Ductal - terminal ductal like
pdacb_cell_268	Ductal - terminal ductal like
pdacb_cell_269	Ductal - terminal ductal like
pdacb_cell_270	Ductal - terminal ductal like
pdacb_cell_271	Ductal - terminal ductal like
pdacb_cell_272	Ductal - terminal ductal like
pdacb_cell_273	Ductal - terminal ductal like
pdacb_cell_274	Ductal - MHC Class II
pdacb_cell_275	Cancer
pdacb_cell_276	Ductal - terminal ductal like
pdacb_cell_277	Endothelial cells
pdacb_cell_278	Ductal - terminal ductal like
pdacb_cell_279	Ductal - terminal ductal like
pdacb_cell_280	Ductal - MHC Class II
pdacb_cell_281	Ductal - MHC Class II
pdacb_cell_282	Ductal - terminal ductal like
pdacb_cell_283	Ductal - CRISP3 high
pdacb_cell_284	Ductal - terminal ductal like
pdacb_cell_285	Ductal - MHC Class II
pdacb_cell_286	Ductal - terminal ductal like
pdacb_cell_287	Ductal - terminal ductal like
pdacb_cell_288	Ductal - terminal ductal like
pdacb_cell_289	Ductal - terminal ductal like
pdacb_cell_290	Ductal - terminal ductal like
pdacb_cell_291	Ductal - terminal ductal like
pdacb_cell_292	Ductal - terminal ductal like
pdacb_cell_293	Ductal - terminal ductal like
pdacb_cell_294	Ductal - terminal ductal like
pdacb_cell_295	Ductal - terminal ductal like
pdacb_cell_296	Ductal - terminal ductal like
pdacb_cell_297	Ductal - terminal ductal like
pdacb_cell_298	Ductal - terminal ductal like
pdacb_cell_299	Ductal - CRISP3 high
pdacb_cell_300	Cancer
pdacb_cell_302	Endothelial cells
pdacb_cell_303	Ductal - terminal ductal like
pdacb_cell_304	Cancer
pdacb_cell_305	Ductal - MHC Class II
pdacb_cell_306	Ductal - terminal ductal like
pdacb_cell_307	Ductal - terminal ductal like
pdacb_cell_308	Ductal - terminal ductal like
pdacb_cell_309	Ductal - terminal ductal like
pdacb_cell_310	Endothelial cells
pdacb_cell_311	Ductal - terminal ductal like
pdacb_cell_312	Cancer
pdacb_cell_313	Ductal - terminal ductal like
pdacb_cell_314	Ductal - MHC Class II
pdacb_cell_315	Ductal - terminal ductal like
pdacb_cell_316	Ductal - CRISP3 high
pdacb_cell_317	Ductal - terminal ductal like
pdacb_cell_318	Ductal - terminal ductal like
pdacb_cell_319	Ductal - terminal ductal like
pdacb_cell_320	Ductal - terminal ductal like
pdacb_cell_321	Cancer
pdacb_cell_322	Ductal - terminal ductal like
pdacb_cell_323	Cancer
pdacb_cell_324	Ductal - terminal ductal like
pdacb_cell_325	Ductal - terminal ductal like
pdacb_cell_326	Ductal - terminal ductal like
pdacb_cell_327	mDCs
pdacb_cell_328	Ductal - terminal ductal like
pdacb_cell_329	Ductal - terminal ductal like
pdacb_cell_330	Ductal - CRISP3 high
pdacb_cell_331	Cancer
pdacb_cell_332	Ductal - terminal ductal like
pdacb_cell_333	Ductal - CRISP3 high
pdacb_cell_334	Ductal - terminal ductal like
pdacb_cell_335	Ductal - MHC Class II
pdacb_cell_336	Ductal - terminal ductal like
pdacb_cell_337	Ductal - terminal ductal like
pdacb_cell_338	Ductal - terminal ductal like
pdacb_cell_339	Ductal - terminal ductal like
